,fname,x1t,y1t,x2t,x2t,x1,y1,x2,x2,iou,dx,dy,dw,dh
14,ISIC_0000015,0.17221135,0.23060626,0.7093933,0.72832465,0.26733947,0.26734993,0.6828269,0.70159924,0.6748008728027344,0.034280837,0.0050091445,0.121694565,0.06346908
15,ISIC_0000016,0.24266145,0.15237941,0.7181996,0.6246741,0.25267988,0.22001825,0.66518956,0.6681529,0.6882358193397522,0.02149582,0.05555886,0.063028485,0.024160028
16,ISIC_0000017,0.28390956,0.30037645,0.65890956,0.70161647,0.27463526,0.28084284,0.68657064,0.7043668,0.8623895645141602,0.009193391,0.0083916485,0.03693539,0.022283942
17,ISIC_0000018,0.12965426,0.27380425,0.77327126,0.689659,0.18341342,0.2825237,0.75822675,0.6874156,0.8695219159126282,0.019357324,0.0032380223,0.06880367,0.010962844
18,ISIC_0000019,0.13962767,0.27579716,0.7586436,0.7972764,0.12824073,0.29931802,0.75751483,0.74924594,0.847737193107605,0.0062578917,0.012254775,0.010258198,0.07155132
19,ISIC_0000020,0.19946809,0.22597432,0.61901593,0.8417848,0.19888872,0.23337623,0.6007547,0.7674104,0.8284351825714111,0.0094203055,0.033486187,0.017681897,0.08177632
20,ISIC_0000021,0.17220744,0.20139503,0.7194149,0.8211913,0.2034148,0.20358029,0.72115856,0.7899754,0.889444887638092,0.016475528,0.01451534,0.029463708,0.03340113
21,ISIC_0000022,0.1043883,0.18545173,0.91356385,0.74213904,0.14545375,0.22538593,0.8529348,0.7590536,0.7905833125114441,0.009781837,0.028424352,0.101694524,0.023019612
22,ISIC_0000023,0.38430852,0.30170506,0.8218085,0.6750443,0.30366892,0.29711497,0.8075021,0.6852355,0.7864381670951843,0.047473013,0.002800554,0.066333175,0.014781296
23,ISIC_0000024,0.22672872,0.21335253,0.84375,0.8112267,0.30596727,0.24700934,0.7484184,0.7252446,0.5735683441162109,0.008046508,0.026162684,0.17457014,0.11963892
24,ISIC_0000025,0.26595744,0.2937334,0.72207445,0.76472545,0.22119173,0.23444712,0.7256119,0.7649553,0.8027661442756653,0.020614088,0.0295282,0.048303157,0.059516102
25,ISIC_0000026,0.053191494,0.1834588,0.97074467,0.82849866,0.19311285,0.277345,0.85317385,0.7384153,0.5141928791999817,0.011175275,0.0019014478,0.25749218,0.18396956
26,ISIC_0000027,0.26329786,0.24856068,0.6675532,0.75608945,0.26447704,0.28929985,0.6534971,0.7069423,0.7918428778648376,0.006438464,0.004203975,0.015235275,0.08988631
27,ISIC_0000028,0.18417554,0.3096767,0.77327126,0.744132,0.19775459,0.30509758,0.7258562,0.7189039,0.836469292640686,0.016918004,0.014903605,0.06099415,0.020648956
28,ISIC_0000029,0.20013298,0.19275908,0.8238032,0.8311559,0.20887914,0.17412835,0.8273102,0.7657831,0.8559007048606873,0.0061265826,0.042001754,0.005239129,0.04674208
29,ISIC_0000030,0.164338,0.14027901,0.9115103,0.859721,0.11431518,0.16249889,0.90718293,0.78586286,0.8141912817955017,0.027175128,0.025819123,0.045695484,0.09607804
30,ISIC_0000031,0.1243351,0.2246457,0.7925532,0.7919619,0.16300708,0.22354311,0.8188176,0.7696415,0.8705070614814758,0.0324682,0.011711508,0.012407541,0.021217763
31,ISIC_0000032,0.2074468,0.2532108,0.75199467,0.8311559,0.15483195,0.21950603,0.8786847,0.7901206,0.6715097427368164,0.03703758,0.037370026,0.1793049,0.007330537
32,ISIC_0000034,0.24933511,0.34820637,0.8344415,0.69895923,0.24462423,0.32279754,0.7860148,0.7056962,0.8392659425735474,0.02656877,0.009335935,0.043715835,0.032145828
33,ISIC_0000035,0.11569149,0.1814659,0.8803192,0.79594773,0.08195922,0.20799676,0.9203057,0.8096312,0.8568430542945862,0.0031271577,0.02010715,0.073718786,0.012847304
34,ISIC_0000036,0.08178192,0.23660319,0.78922874,0.8072409,0.12143943,0.23317528,0.7155442,0.75353634,0.7569148540496826,0.01701349,0.028566241,0.11334205,0.050276637
35,ISIC_0000037,0.096409574,0.13695748,0.9075798,0.79993355,0.1569885,0.20924205,0.8897388,0.7686821,0.7622397541999817,0.02136898,0.020516574,0.078419924,0.10353601
36,ISIC_0000038,0.0106383,0.21468113,0.9168883,0.82451284,0.08358264,0.29005843,0.86707425,0.7760851,0.6890147924423218,0.011565149,0.013474762,0.12275839,0.123805046
37,ISIC_0000039,0.23337767,0.28709036,0.72140956,0.74014616,0.23753643,0.27607265,0.7284032,0.7261548,0.9253332018852234,0.0055761933,0.012504518,0.0028348863,0.002973646
38,ISIC_0000040,0.22207446,0.2784544,0.6881649,0.6697298,0.22788598,0.3181192,0.583706,0.6475526,0.642719566822052,0.049323678,0.008743763,0.11027038,0.061842024
39,ISIC_0000041,0.2912234,0.32960585,0.5412234,0.6325288,0.27478987,0.35198823,0.5684611,0.67118883,0.7059710621833801,0.005402088,0.030521214,0.04367125,0.01627767
40,ISIC_0000042,0.2087766,0.20737378,0.7726064,0.82517713,0.20394412,0.20777231,0.77020943,0.76679087,0.8940428495407104,0.0036147237,0.028993875,0.002435565,0.058784783
41,ISIC_0000043,0.13031915,0.22065987,0.8131649,0.84842783,0.0885829,0.19008714,0.8062527,0.78925365,0.8102266788482666,0.024324238,0.044873476,0.034824133,0.028601468
42,ISIC_0000044,0.07912234,0.17681576,0.89361703,0.7919619,0.09593925,0.23357978,0.88701856,0.7506596,0.8163989782333374,0.0051092207,0.0077308416,0.023415387,0.09806633
43,ISIC_0000045,0.15026596,0.13762179,0.7180851,0.7009522,0.19368535,0.20475888,0.7142843,0.70973057,0.7961716055870056,0.019809276,0.037957758,0.04722017,0.05835873
44,ISIC_0000046,0.105053194,0.2246457,0.83710104,0.77070415,0.08661559,0.21192193,0.7600416,0.75295156,0.8277140259742737,0.047748536,0.015238196,0.058621824,0.0050287843
45,ISIC_0000047,0.17021278,0.25786096,0.6888298,0.74081045,0.21903335,0.27887,0.6955892,0.7033634,0.7871690988540649,0.02779001,0.008219004,0.04206121,0.058456063
46,ISIC_0000048,0.25731382,0.31565544,0.56515956,0.7501107,0.27947104,0.33704793,0.587031,0.68276906,0.6989168524742126,0.02201432,0.02297455,0.00028577447,0.08873412
47,ISIC_0000049,0.07446809,0.12699291,0.9428192,0.835806,0.11547062,0.20234871,0.9073969,0.8091059,0.7806663513183594,0.002790153,0.024327815,0.07642484,0.10205591
48,ISIC_0000050,0.20212767,0.25520372,0.8796543,0.7348317,0.24203387,0.2812376,0.87509704,0.6940599,0.8042035102844238,0.017674446,0.007368952,0.044463396,0.06680566
49,ISIC_0000051,0.14095744,0.2525465,0.8031915,0.781333,0.16952449,0.23626819,0.76953655,0.7480135,0.8258920907974243,0.0025439262,0.02479893,0.062222004,0.017041206
50,ISIC_0000052,0.12898937,0.12699291,0.9381649,0.8710142,0.0854803,0.14366966,0.92416227,0.8326035,0.8667668700218201,0.028755844,0.01086694,0.029506445,0.055087447
51,ISIC_0000053,0.042553194,0.1369575,0.81449467,0.8563995,0.1398207,0.20965025,0.7828745,0.7652023,0.6432563662528992,0.03282368,0.009252191,0.12888765,0.16389
52,ISIC_0000054,0.23404256,0.2977192,0.7307181,0.7760186,0.2524152,0.28953046,0.7348931,0.73540443,0.8602752089500427,0.011273801,0.024401486,0.014197648,0.032425433
53,ISIC_0000055,0.2832447,0.17615145,0.97606385,0.8716785,0.22006583,0.1591351,0.9444722,0.81290525,0.7878127694129944,0.047385275,0.037894756,0.031587243,0.04175687
54,ISIC_0000056,0.2406915,0.17017272,0.91422874,0.7906333,0.20614201,0.24107197,0.8792905,0.76282287,0.7643023133277893,0.034743845,0.021544397,0.0003887415,0.0987097
55,ISIC_0000057,0.27792552,0.34687775,0.69015956,0.8324845,0.30719948,0.2986256,0.7117827,0.7801142,0.7242433428764343,0.02544856,0.050311267,0.0076508224,0.0041181445
56,ISIC_0000059,0.09242021,0.22597432,0.82712764,0.8025908,0.16977757,0.24793589,0.8253785,0.7398554,0.7612404823303223,0.037804097,0.020386934,0.07910651,0.08469695
57,ISIC_0000061,0.20545213,0.26051816,0.79787236,0.8118911,0.21386719,0.25475895,0.7971747,0.77905095,0.9165192246437073,0.0038586855,0.019299686,0.009112716,0.027080894
58,ISIC_0000062,0.33776596,0.33159876,0.57978725,0.68833035,0.32031298,0.3270731,0.60273296,0.68287826,0.8350073099136353,0.0027463734,0.004988909,0.040398687,0.000926435
59,ISIC_0000063,0.14029256,0.20205934,0.80651593,0.8710142,0.19499853,0.19864199,0.7632208,0.8530662,0.8263980746269226,0.005705416,0.010682642,0.09800112,0.014530659
60,ISIC_0000064,0.17287233,0.24590345,0.73138297,0.82318425,0.20994142,0.2531204,0.7332245,0.7916367,0.8682378530502319,0.019455314,0.012165308,0.035227537,0.038764536
61,ISIC_0000065,0.113696806,0.334256,0.89228725,0.68700176,0.11927265,0.29159206,0.8500402,0.6851779,0.8385075330734253,0.01833561,0.022243887,0.047822893,0.04084009
62,ISIC_0000066,0.03222453,0.13954294,0.87110186,0.83448756,0.08087367,0.17844418,0.8230743,0.78185105,0.7682020664215088,0.00031077862,0.006867647,0.09667671,0.091537714
63,ISIC_0000067,0.12993763,0.21433519,0.62993765,0.7783933,0.13732451,0.22155127,0.65827763,0.74404764,0.8670758008956909,0.017863423,0.013564795,0.020953119,0.041561782
64,ISIC_0000068,0.0956341,0.26108032,0.8160083,0.7794321,0.11954343,0.27127826,0.79322654,0.7786052,0.9152698516845703,0.00056377053,0.004685521,0.04669112,0.011024833
65,ISIC_0000069,0.23679061,0.3440352,0.6888454,0.6559648,0.2797041,0.32424724,0.6760546,0.6692464,0.8021562099456787,0.015061349,0.0032531917,0.055704296,0.03306955
66,ISIC_0000071,0.27005872,0.3665254,0.6291585,0.6100065,0.28668243,0.33316004,0.6192465,0.648572,0.7270919680595398,0.003355831,0.0026000738,0.02653572,0.071930885
67,ISIC_0000072,0.30626222,0.34012386,0.63600785,0.73419166,0.30741125,0.3501401,0.6451032,0.7438036,0.923235297203064,0.0051222146,0.009814084,0.007946342,0.0004042685
68,ISIC_0000073,0.12720157,0.25016296,0.8737769,0.7351695,0.14666092,0.28331113,0.80512035,0.7336631,0.818932056427002,0.024598598,0.01582089,0.08811593,0.034654558
69,ISIC_0000074,0.04011742,0.17486963,0.9911937,0.74494785,0.23607314,0.26146498,0.7727115,0.6551621,0.3896602392196655,0.011263251,0.0015951991,0.4144379,0.17638114
70,ISIC_0000075,0.07534246,0.12695567,0.9187867,0.8671773,0.10838005,0.17387989,0.94535923,0.8002274,0.7918950319290161,0.029805064,0.010012865,0.0064650774,0.11387408
71,ISIC_0000077,0.18284574,0.24125333,0.8351064,0.8656997,0.17741206,0.25605333,0.8290483,0.8037709,0.8626539707183838,0.0057458878,0.023564398,0.00062441826,0.07672882
72,ISIC_0000078,0.33776596,0.32827723,0.6755319,0.69696635,0.32501367,0.30234194,0.70078516,0.6883511,0.8219214081764221,0.006250441,0.017275244,0.03800553,0.017320037
73,ISIC_0000079,0.3238032,0.3920505,0.63962764,0.6325288,0.37485456,0.34490034,0.6584761,0.62956476,0.6703802943229675,0.03494993,0.025057077,0.0322029,0.044186145
74,ISIC_0000080,0.26118827,0.30324075,0.72492284,0.7021605,0.25649238,0.30162555,0.7210173,0.7061338,0.9681363105773926,0.0043007135,0.0011790395,0.0007903576,0.0055885017
75,ISIC_0000081,0.27490234,0.33007812,0.64746094,0.70458984,0.27437824,0.32092243,0.68798894,0.69236857,0.8532034158706665,0.020001948,0.010688484,0.041052103,0.003065586
76,ISIC_0000082,0.26660156,0.18798828,0.75439453,0.7651367,0.2651372,0.2487452,0.72701883,0.74387103,0.8076285719871521,0.0144200325,0.019745618,0.025911331,0.08202261
77,ISIC_0000085,0.31884766,0.34326172,0.7192383,0.7133789,0.33025134,0.32205507,0.71190333,0.6997874,0.8705890774726868,0.0020343661,0.017399073,0.018738627,0.007615119
78,ISIC_0000086,0.15084878,0.3125,0.81635803,0.6712963,0.17010456,0.27193946,0.82875496,0.6912474,0.8190618753433228,0.015826344,0.010304719,0.0068588257,0.06051165
79,ISIC_0000087,0.12255859,0.2446289,0.93310547,0.7211914,0.12155908,0.24630219,0.9164378,0.7271767,0.962929368019104,0.008833587,0.0038293004,0.015668154,0.0043120384
80,ISIC_0000088,0.25146484,0.21044922,0.71972656,0.7709961,0.26704532,0.22268525,0.73237294,0.7345078,0.8614212274551392,0.014113426,0.012126148,0.0029340982,0.048724294
81,ISIC_0000089,0.36523438,0.2734375,0.6479492,0.7709961,0.36091858,0.28328592,0.6657321,0.7381486,0.8531628847122192,0.0067335367,0.011499524,0.02209866,0.04269588
82,ISIC_0000091,0.2998047,0.30566406,0.6323242,0.7158203,0.27647376,0.2909863,0.67624885,0.67976785,0.7430076003074646,0.010296851,0.025365114,0.06725556,0.021374702
83,ISIC_0000092,0.34814453,0.35595703,0.70654297,0.60839844,0.3210311,0.33313978,0.7224808,0.6647091,0.6796551942825317,0.0055878162,0.0167467,0.043051243,0.07912791
84,ISIC_0000093,0.35498047,0.36669922,0.68603516,0.6870117,0.31619847,0.32374024,0.705827,0.6785281,0.731864333152771,0.0094950795,0.025721312,0.058573842,0.034475327
85,ISIC_0000094,0.3984375,0.4013672,0.71972656,0.6035156,0.39923954,0.3880504,0.68642604,0.624818,0.7750881910324097,0.01624924,0.003992796,0.03410256,0.034619182
86,ISIC_0000095,0.38916016,0.35107422,0.6386719,0.6743164,0.3278659,0.3240588,0.67697686,0.6974207,0.6187171936035156,0.011494637,0.0019555688,0.09959924,0.050119728
87,ISIC_0000096,0.23632812,0.22802734,0.83203125,0.70166016,0.43397588,0.35695928,0.7990281,0.6901813,0.43112343549728394,0.0823223,0.05872655,0.2306509,0.14041078
88,ISIC_0000097,0.21533203,0.21923828,0.82177734,0.69384766,0.20941064,0.23285112,0.83301556,0.7111528,0.912024974822998,0.0026584268,0.015459001,0.017159581,0.0036922991
89,ISIC_0000098,0.38427734,0.42285156,0.57714844,0.55126953,0.3823688,0.3857144,0.5724716,0.56417316,0.6997758150100708,0.0032926798,0.01211676,0.0027682781,0.05004078
90,ISIC_0000099,0.110839844,0.27392578,0.8886719,0.7988281,0.18009341,0.22617474,0.831756,0.7568592,0.7162039279937744,0.0061688423,0.044860005,0.12616944,0.0057821274
91,ISIC_0000100,0.23635563,0.16901408,0.8252641,0.8441901,0.19202593,0.20914313,0.7851398,0.80286276,0.768549919128418,0.04222703,0.0005991459,0.0042054653,0.08145642
92,ISIC_0000101,0.21963029,0.14128521,0.8028169,0.8182218,0.19579232,0.151692,0.8094528,0.8245958,0.9276816844940186,0.008601069,0.008390427,0.030473828,0.0040328503
93,ISIC_0000102,0.40966797,0.41748047,0.57958984,0.59277344,0.3485785,0.34627432,0.6614875,0.62570286,0.34062403440475464,0.01040411,0.019138366,0.14298713,0.10413557
94,ISIC_0000103,0.06591797,0.18164062,0.7519531,0.76660156,0.12157762,0.25761878,0.78899366,0.7346247,0.717674195766449,0.04635009,0.02200064,0.01861912,0.10795504
95,ISIC_0000104,0.24560547,0.28173828,0.78808594,0.7006836,0.28685933,0.25820905,0.73889273,0.7032738,0.7920868992805481,0.0039696693,0.010469526,0.09044707,0.026119411
96,ISIC_0000105,0.33449075,0.30748457,0.61612654,0.58603394,0.32459468,0.31329733,0.61454505,0.59684384,0.9061394333839417,0.005738795,0.008311331,0.00831458,0.004997134
97,ISIC_0000107,0.24853516,0.19433594,0.68310547,0.75634766,0.20920496,0.21436054,0.70024693,0.7627492,0.8472539782524109,0.011094362,0.013213068,0.056471646,0.013623059
98,ISIC_0000108,0.33154297,0.2993164,0.796875,0.69140625,0.30464485,0.28760472,0.7937639,0.68578386,0.8995280861854553,0.015004635,0.008667052,0.023786992,0.0060893
99,ISIC_0000109,0.111816406,0.18945312,0.8178711,0.8696289,0.1096915,0.1749247,0.8268996,0.79000914,0.8525360822677612,0.0034517944,0.04707408,0.0111534,0.06509137
100,ISIC_0000110,0.30126953,0.33447266,0.7001953,0.58935547,0.35269547,0.3237434,0.67829275,0.60964334,0.742376983165741,0.014761686,0.004779309,0.073328495,0.031017125
101,ISIC_0000111,0.044433594,0.16357422,0.9711914,0.85302734,0.07615793,0.16799068,0.9591193,0.81342196,0.8918953537940979,0.009826124,0.017594457,0.04379642,0.044021845
102,ISIC_0000112,0.26904297,0.23876953,0.7753906,0.6635742,0.2966068,0.26094174,0.7386935,0.68593484,0.7911246418952942,0.0045666695,0.022266418,0.06426099,0.00018841028
103,ISIC_0000113,0.24041194,0.29154828,0.68607956,0.67578125,0.30554956,0.297272,0.684897,0.66815007,0.8215561509132385,0.031977534,0.0009537339,0.06632018,0.0133548975
104,ISIC_0000116,0.06347656,0.20947266,0.7504883,0.78125,0.16796267,0.22900718,0.82848656,0.7977112,0.7200397849082947,0.091242194,0.01799786,0.026487827,0.0030733347
105,ISIC_0000118,0.3935547,0.38916016,0.6767578,0.7006836,0.35133457,0.3071916,0.70293725,0.6985198,0.6338800191879272,0.008020341,0.042066157,0.06839955,0.07980478
106,ISIC_0000119,0.3227539,0.26757812,0.6948242,0.74853516,0.30355096,0.29815847,0.69884443,0.7314177,0.8528285026550293,0.007591367,0.0067314506,0.023223162,0.047697783
107,ISIC_0000120,0.16552734,0.16015625,0.79052734,0.8378906,0.15341836,0.15072373,0.8023231,0.81723356,0.9219868183135986,0.0001566112,0.015044808,0.02390474,0.011224508
108,ISIC_0000121,0.18652344,0.26660156,0.72558594,0.7885742,0.17216504,0.24014139,0.70026284,0.7772107,0.8666265606880188,0.019840747,0.018911839,0.010964692,0.015096664
109,ISIC_0000122,0.1850586,0.24560547,0.8935547,0.75439453,0.1618613,0.23141864,0.8905294,0.7308022,0.8958700895309448,0.013111293,0.018889606,0.020172,0.009405524
110,ISIC_0000123,0.25634766,0.27294922,0.8046875,0.63427734,0.2886659,0.2686215,0.75434875,0.6622728,0.7892583608627319,0.009010255,0.011833876,0.08265698,0.03232318
111,ISIC_0000124,0.2607422,0.21142578,0.7246094,0.77490234,0.2896518,0.23097369,0.7298477,0.7750032,0.8952023983001709,0.017073989,0.009824395,0.02367127,0.019447088
112,ISIC_0000125,0.47998047,0.4477539,0.5854492,0.54296875,0.4200924,0.40849778,0.6170203,0.5894724,0.2816966474056244,0.014158487,0.0036237836,0.091459155,0.08575979
113,ISIC_0000126,0.23095703,0.26220703,0.7705078,0.74658203,0.2585026,0.27275229,0.7307348,0.710753,0.7914067506790161,0.006113708,0.012641877,0.06731856,0.04637426
114,ISIC_0000127,0.1069336,0.12890625,0.83496094,0.79833984,0.16761559,0.21531132,0.6906069,0.7229183,0.5447006821632385,0.041836023,0.0054917336,0.20503604,0.16182661
115,ISIC_0000128,0.30078125,0.30810547,0.7216797,0.6855469,0.30801004,0.33411753,0.7058179,0.7006837,0.8478151559829712,0.004316509,0.02057445,0.023090601,0.010875225
116,ISIC_0000129,0.40283203,0.35009766,0.68896484,0.7104492,0.36618274,0.34267807,0.6928689,0.69677806,0.8293940424919128,0.016372621,0.010545373,0.04055333,0.0062515736
117,ISIC_0000130,0.22314453,0.25146484,0.73095703,0.75390625,0.26453716,0.2655778,0.7249634,0.7317543,0.8412104249000549,0.01769951,0.004019499,0.04738623,0.036264896
118,ISIC_0000131,0.22802734,0.17236328,0.73583984,0.66748047,0.23014632,0.20432267,0.7182325,0.7468611,0.7790334820747375,0.007744193,0.055670023,0.019726306,0.047421217
119,ISIC_0000132,0.41015625,0.30517578,0.5878906,0.50927734,0.31563753,0.27535656,0.64567465,0.5908865,0.34831544756889343,0.01836735,0.02589494,0.15230274,0.11142835
120,ISIC_0000133,0.39208984,0.29541016,0.7558594,0.67529297,0.32676566,0.2875217,0.75834477,0.69958687,0.7770074009895325,0.031419396,0.008202732,0.06780958,0.032182366
121,ISIC_0000134,0.42041016,0.31591797,0.64160156,0.7084961,0.36146206,0.31882584,0.66963416,0.7151344,0.7019760012626648,0.015457749,0.0047730803,0.0869807,0.0037304163
122,ISIC_0000135,0.33670774,0.35915494,0.6742958,0.69586265,0.3291137,0.33486247,0.6631104,0.69116056,0.8717285990715027,0.0093896985,0.01449728,0.0035913587,0.019590378
123,ISIC_0000136,0.06542969,0.1538086,0.87841797,0.8173828,0.062101036,0.15072244,0.9363564,0.8202844,0.9215889573097229,0.027304888,9.226799e-05,0.061267138,0.0059877634
124,ISIC_0000137,0.22851562,0.28173828,0.87646484,0.68408203,0.22504508,0.2653796,0.8475158,0.7052785,0.8723881840705872,0.016209781,0.0024189055,0.025478482,0.03755516
125,ISIC_0000138,0.34960938,0.3256836,0.7548828,0.72265625,0.3337797,0.33896545,0.75441647,0.7133626,0.9085209965705872,0.008148015,0.0019940734,0.015363336,0.022575527
126,ISIC_0000139,0.25319603,0.23899148,0.76420456,0.7521307,0.28727984,0.23946068,0.72340274,0.74568844,0.8419279456138611,0.0033590198,0.0029865205,0.07488561,0.0069114566
127,ISIC_0000140,0.26491478,0.19708806,0.85866475,0.79971594,0.22541353,0.18428794,0.79223406,0.8006371,0.816064178943634,0.05296594,0.0059394836,0.026929498,0.013721347
128,ISIC_0000141,0.25732422,0.34960938,0.8100586,0.6826172,0.2766857,0.3328073,0.7405952,0.69953334,0.7735217809677124,0.025050938,5.7041645e-05,0.08882487,0.03371823
129,ISIC_0000142,0.22998047,0.23583984,0.8330078,0.80322266,0.275957,0.24250391,0.7880008,0.757656,0.7709330320358276,0.00048476458,0.01945132,0.09098351,0.052230716
130,ISIC_0000143,0.1878858,0.3287037,0.8090278,0.7685185,0.22016388,0.30720484,0.7390869,0.745134,0.7599524259567261,0.018831402,0.022441685,0.102218926,0.0018856525
131,ISIC_0000145,0.24511719,0.17822266,0.7451172,0.76708984,0.25193888,0.20321837,0.7227731,0.7723042,0.8942108154296875,0.00776121,0.015105009,0.029165804,0.019781351
132,ISIC_0000146,0.18896484,0.1899414,0.8051758,0.7714844,0.20013377,0.2025649,0.8103522,0.7829254,0.9346450567245483,0.008172691,0.01203227,0.005992532,0.001182437
133,ISIC_0000147,0.17919922,0.14990234,0.86816406,0.83935547,0.18371218,0.1866099,0.816038,0.8140495,0.8352219462394714,0.023806542,0.005700767,0.056639016,0.062013507
134,ISIC_0000148,0.35191762,0.25248578,0.7105824,0.71484375,0.3400445,0.29192954,0.7391349,0.72062,0.8188387155532837,0.008339703,0.022610009,0.04042566,0.033667535
135,ISIC_0000149,0.20166016,0.1303711,0.9423828,0.80029297,0.21199268,0.15590227,0.9566967,0.83557004,0.8851404190063477,0.012323201,0.03040412,0.003981352,0.009745896
136,ISIC_0000150,0.13916016,0.23925781,0.8173828,0.77001953,0.22204185,0.252081,0.80644345,0.7445595,0.799493134021759,0.035971165,0.0063183904,0.09382105,0.0382832
137,ISIC_0000151,0.28222656,0.33154297,0.6982422,0.609375,0.3133065,0.32121968,0.70240563,0.61517215,0.8693385124206543,0.017621696,0.0022630692,0.026916504,0.016120434
138,ISIC_0000152,0.31867284,0.19174382,0.7696759,0.7052469,0.3067053,0.22183992,0.7388912,0.7109409,0.8469401597976685,0.021376133,0.017895013,0.018817186,0.024402082
139,ISIC_0000153,0.2025463,0.22415124,0.7658179,0.7635031,0.13405487,0.24228156,0.74748874,0.7571952,0.8275313973426819,0.04341027,0.0059112012,0.050162256,0.024438202
140,ISIC_0000154,0.36767578,0.30517578,0.7397461,0.6386719,0.34882998,0.30189914,0.72576714,0.66650087,0.8403859734535217,0.016412377,0.012276173,0.0048668385,0.031105638
141,ISIC_0000155,0.16699219,0.14453125,0.8852539,0.8588867,0.13509053,0.13270432,0.8908501,0.8198398,0.8861510753631592,0.013152719,0.025436938,0.037497878,0.02722001
142,ISIC_0000156,0.19873047,0.17822266,0.7524414,0.8334961,0.22487652,0.18919823,0.7873002,0.7838663,0.817907452583313,0.030502439,0.019327104,0.008712769,0.060605407
143,ISIC_0000157,0.23883697,0.25057447,0.7829699,0.8002441,0.22364286,0.2946115,0.8260925,0.7713879,0.793587863445282,0.013964236,0.007590413,0.058316708,0.07289326
144,ISIC_0000159,0.29222798,0.1975138,0.865285,0.8667127,0.27605748,0.23374143,0.86314595,0.82243395,0.85516357421875,0.009154737,0.0040255785,0.01403147,0.080506325
145,ISIC_0000160,0.0,0.17945601,0.9958449,0.87028354,0.06487927,0.171267,0.9825381,0.8536413,0.8895589113235474,0.02578625,0.0124156475,0.078186095,0.00845331
146,ISIC_0000161,0.15072766,0.18981245,0.9054054,0.8392352,0.1979942,0.22265986,0.84764075,0.75587225,0.7067722082138062,0.0052490234,0.025257766,0.10503125,0.11621034
147,ISIC_0000162,0.16493775,0.18865967,0.8371369,0.7524872,0.13533315,0.22062913,0.78362906,0.72348475,0.7898235321044922,0.04155624,0.0014835,0.02390331,0.060971856
148,ISIC_0000163,0.18445596,0.27379864,0.82590675,0.7334481,0.23735803,0.2586049,0.7402131,0.6890495,0.6903008222579956,0.016395807,0.029796183,0.1385957,0.029204875
149,ISIC_0000164,0.25755996,0.34074992,0.7372263,0.76958025,0.2021879,0.29387537,0.7982143,0.73844373,0.6814824938774109,0.0028079748,0.039005518,0.11636007,0.01573804
