,fname,x1,y1,x2,y2
79,ISIC_0000085_downsampled,348,192,708,576
80,ISIC_0000086_downsampled,264,164,784,604
81,ISIC_0000087_downsampled,260,108,808,592
82,ISIC_0000088_downsampled,256,124,748,612
83,ISIC_0000089_downsampled,292,152,712,620
84,ISIC_0000091_downsampled,292,156,740,584
85,ISIC_0000092_downsampled,360,236,668,516
86,ISIC_0000093_downsampled,356,260,668,560
87,ISIC_0000094_downsampled,428,264,692,512
88,ISIC_0000095_downsampled,328,240,648,532
89,ISIC_0000096_downsampled,384,236,724,532
90,ISIC_0000097_downsampled,272,152,776,572
91,ISIC_0000098_downsampled,388,268,596,460
92,ISIC_0000099_downsampled,244,184,724,580
93,ISIC_0000100_downsampled,252,88,756,632
94,ISIC_0000101_downsampled,212,100,776,648
95,ISIC_0000102_downsampled,380,260,612,496
96,ISIC_0000103_downsampled,140,128,780,640
97,ISIC_0000104_downsampled,240,152,796,592
98,ISIC_0000105_downsampled,356,196,644,480
99,ISIC_0000107_downsampled,236,144,756,644
100,ISIC_0000108_downsampled,360,212,704,556
101,ISIC_0000109_downsampled,220,108,788,660
102,ISIC_0000110_downsampled,376,240,636,468
103,ISIC_0000111_downsampled,68,88,912,716
104,ISIC_0000112_downsampled,340,216,648,536
105,ISIC_0000113_downsampled,316,184,640,500
106,ISIC_0000114_downsampled,428,296,624,496
107,ISIC_0000115_downsampled,316,152,728,588
108,ISIC_0000116_downsampled,208,104,812,664
109,ISIC_0000117_downsampled,336,192,760,572
110,ISIC_0000118_downsampled,364,200,712,532
111,ISIC_0000119_downsampled,292,244,720,636
112,ISIC_0000120_downsampled,208,68,816,708
113,ISIC_0000121_downsampled,200,152,740,656
114,ISIC_0000122_downsampled,192,104,840,664
115,ISIC_0000123_downsampled,280,160,764,564
116,ISIC_0000124_downsampled,280,136,732,632
117,ISIC_0000125_downsampled,436,296,592,440
118,ISIC_0000126_downsampled,256,120,764,636
119,ISIC_0000127_downsampled,248,144,708,580
120,ISIC_0000128_downsampled,308,160,724,592
121,ISIC_0000129_downsampled,400,236,688,552
122,ISIC_0000130_downsampled,304,196,716,564
123,ISIC_0000131_downsampled,268,100,740,592
124,ISIC_0000132_downsampled,356,180,660,504
125,ISIC_0000133_downsampled,392,196,700,556
126,ISIC_0000134_downsampled,344,196,668,552
127,ISIC_0000135_downsampled,336,212,712,560
128,ISIC_0000136_downsampled,108,76,884,728
129,ISIC_0000137_downsampled,276,152,784,596
130,ISIC_0000138_downsampled,276,200,752,596
131,ISIC_0000139_downsampled,272,168,716,612
132,ISIC_0000140_downsampled,284,68,800,668
133,ISIC_0000141_downsampled,328,224,688,532
134,ISIC_0000142_downsampled,300,180,780,652
135,ISIC_0000143_downsampled,248,192,744,628
136,ISIC_0000145_downsampled,292,112,740,652
137,ISIC_0000146_downsampled,216,84,796,628
138,ISIC_0000147_downsampled,212,76,760,648
139,ISIC_0000148_downsampled,332,176,708,600
140,ISIC_0000149_downsampled,252,100,820,656
141,ISIC_0000150_downsampled,284,184,744,628
142,ISIC_0000151_downsampled,356,208,692,512
143,ISIC_0000152_downsampled,304,132,752,592
144,ISIC_0000153_downsampled,244,140,752,608
145,ISIC_0000154_downsampled,380,196,672,524
146,ISIC_0000155_downsampled,204,76,848,692
147,ISIC_0000156_downsampled,292,136,732,616
148,ISIC_0000157,241,102,718,535
149,ISIC_0000159,290,117,807,667
150,ISIC_0000160,147,82,609,458
151,ISIC_0000161,192,30,770,606
152,ISIC_0000162,169,80,731,523
153,ISIC_0000163,275,136,720,494
154,ISIC_0000164,277,154,667,533
155,ISIC_0000165,398,147,679,438
156,ISIC_0000166,90,23,609,457
157,ISIC_0000167,294,159,675,480
158,ISIC_0000169,149,85,581,443
159,ISIC_0000170,186,104,525,381
160,ISIC_0000171,143,117,738,667
161,ISIC_0000172,233,64,740,621
162,ISIC_0000173,158,102,598,463
163,ISIC_0000174,270,176,701,544
164,ISIC_0000175,245,113,706,544
165,ISIC_0000176_downsampled,224,244,629,724
166,ISIC_0000177_downsampled,300,128,672,489
167,ISIC_0000179_downsampled,380,189,672,470
168,ISIC_0000181_downsampled,348,96,816,544
169,ISIC_0000182_downsampled,324,152,756,560
170,ISIC_0000183_downsampled,280,124,704,561
171,ISIC_0000184_downsampled,316,84,800,472
172,ISIC_0000185_downsampled,236,92,696,626
173,ISIC_0000186_downsampled,404,229,608,434
174,ISIC_0000187,121,40,649,454
175,ISIC_0000188_downsampled,252,84,852,638
176,ISIC_0000189_downsampled,272,80,796,628
177,ISIC_0000190,51,40,629,523
178,ISIC_0000191_downsampled,280,160,704,532
179,ISIC_0000192_downsampled,140,52,772,672
180,ISIC_0000193_downsampled,212,108,736,542
181,ISIC_0000195_downsampled,256,60,856,596
182,ISIC_0000196_downsampled,288,168,708,586
183,ISIC_0000197_downsampled,324,84,792,632
184,ISIC_0000198,193,102,509,431
185,ISIC_0000199,157,110,541,444
186,ISIC_0000200,357,169,665,497
187,ISIC_0000201_downsampled,264,172,744,544
188,ISIC_0000202_downsampled,128,36,896,660
189,ISIC_0000203_downsampled,164,60,836,624
190,ISIC_0000204_downsampled,120,12,812,675
191,ISIC_0000205_downsampled,160,56,828,639
192,ISIC_0000206_downsampled,340,172,672,556
193,ISIC_0000207_downsampled,248,117,752,550
194,ISIC_0000208_downsampled,216,68,836,612
195,ISIC_0000209,118,37,618,466
196,ISIC_0000210,231,158,479,378
197,ISIC_0000211,349,173,631,456
198,ISIC_0000212,48,28,632,497
199,ISIC_0000213,123,90,595,466
200,ISIC_0000214,195,94,804,533
201,ISIC_0000215,184,83,744,557
202,ISIC_0000216,205,104,770,544
203,ISIC_0000217,139,15,753,600
204,ISIC_0000218_downsampled,236,152,716,528
205,ISIC_0000219,225,98,722,554
206,ISIC_0000220,293,185,613,493
207,ISIC_0000221,380,188,643,467
208,ISIC_0000222,147,30,800,588
209,ISIC_0000223,206,116,779,529
210,ISIC_0000224,250,60,733,580
211,ISIC_0000225,299,277,579,539
212,ISIC_0000226,203,76,712,589
213,ISIC_0000227,330,206,701,536
214,ISIC_0000228,161,128,674,556
215,ISIC_0000229,237,124,767,562
216,ISIC_0000230,173,68,815,602
217,ISIC_0000231,218,102,778,621
218,ISIC_0000232,338,154,638,454
219,ISIC_0000233,184,60,830,569
220,ISIC_0000234,162,94,725,612
221,ISIC_0000235,147,65,583,491
222,ISIC_0000236,136,80,820,680
223,ISIC_0000237,172,76,800,644
224,ISIC_0000239,148,168,844,616
225,ISIC_0000240,324,196,708,568
226,ISIC_0000242,204,144,760,644
227,ISIC_0000243,66,135,516,630
228,ISIC_0000244,220,152,756,644
229,ISIC_0000245,268,184,696,596
230,ISIC_0000246,232,144,784,608
231,ISIC_0000247,328,204,668,548
232,ISIC_0000249,264,192,736,608
233,ISIC_0000250,168,136,780,608
234,ISIC_0000251,340,252,648,536
235,ISIC_0000252,99,198,465,576
236,ISIC_0000253,120,255,372,504
237,ISIC_0000254,292,196,688,532
238,ISIC_0000255,260,208,668,572
239,ISIC_0000256,336,216,632,524
240,ISIC_0000258,152,136,768,680
241,ISIC_0000259,196,128,780,648
242,ISIC_0000260,280,136,712,564
243,ISIC_0000261,388,256,648,516
244,ISIC_0000262,192,258,387,489
245,ISIC_0000263,264,224,684,604
246,ISIC_0000264,216,140,712,612
247,ISIC_0000265,324,164,724,612
248,ISIC_0000268,240,172,832,604
249,ISIC_0000269,114,231,402,531
250,ISIC_0000271,252,212,696,604
251,ISIC_0000274,188,128,720,580
252,ISIC_0000275,324,188,684,600
253,ISIC_0000276,256,92,684,560
254,ISIC_0000277,200,128,760,624
255,ISIC_0000278,332,180,744,560
256,ISIC_0000279,200,108,820,656
257,ISIC_0000281,284,188,768,620
258,ISIC_0000282,308,176,692,544
259,ISIC_0000283,308,212,656,544
260,ISIC_0000285,176,144,752,620
261,ISIC_0000287,248,148,820,636
262,ISIC_0000288,128,60,888,696
263,ISIC_0000289,188,96,820,668
264,ISIC_0000290,244,116,764,628
265,ISIC_0000292,300,148,732,592
266,ISIC_0000293,196,136,728,640
267,ISIC_0000294,188,116,840,652
268,ISIC_0000295,66,30,665,546
269,ISIC_0000297,249,147,494,390
270,ISIC_0000298,243,213,491,438
271,ISIC_0000299,150,105,569,468
272,ISIC_0000300,123,96,572,486
273,ISIC_0000301,96,84,590,483
274,ISIC_0000302,63,51,683,534
275,ISIC_0000303,186,60,692,501
276,ISIC_0000306,201,138,542,447
277,ISIC_0000307,105,63,689,507
278,ISIC_0000310,66,63,650,513
279,ISIC_0000311,108,69,629,498
280,ISIC_0000313,252,156,557,423
281,ISIC_0000314,174,132,539,450
282,ISIC_0000315,216,84,527,432
283,ISIC_0000316,228,153,527,447
284,ISIC_0000317,267,192,452,357
285,ISIC_0000319,225,141,506,414
286,ISIC_0000320,219,129,542,462
287,ISIC_0000321,147,57,614,450
288,ISIC_0000322,183,123,524,414
289,ISIC_0000323,270,189,461,372
290,ISIC_0000324,198,132,506,387
291,ISIC_0000325,126,102,524,462
292,ISIC_0000326,177,150,554,477
293,ISIC_0000327,237,153,512,378
294,ISIC_0000328,240,144,518,399
295,ISIC_0000329,234,126,527,423
296,ISIC_0000330,237,108,548,387
297,ISIC_0000331,159,120,533,501
298,ISIC_0000332,240,120,470,405
299,ISIC_0000333,258,171,467,375
300,ISIC_0000336,228,162,479,387
301,ISIC_0000337,138,66,620,525
302,ISIC_0000338,237,162,515,441
303,ISIC_0000339,267,120,485,381
304,ISIC_0000340,258,186,485,411
305,ISIC_0000341,216,117,545,450
306,ISIC_0000342,180,132,503,411
307,ISIC_0000343,117,96,605,486
308,ISIC_0000344,150,108,575,471
309,ISIC_0000345,291,189,458,336
310,ISIC_0000346,219,144,518,441
311,ISIC_0000347,243,210,449,387
312,ISIC_0000348,192,111,572,438
313,ISIC_0000349,240,165,473,405
314,ISIC_0000350,201,153,506,438
315,ISIC_0000351,258,189,491,390
316,ISIC_0000352,273,198,452,366
317,ISIC_0000353,174,114,533,465
318,ISIC_0000354,180,75,566,486
319,ISIC_0000355,225,150,488,414
320,ISIC_0000357,291,186,488,363
321,ISIC_0000358,234,141,512,420
322,ISIC_0000359,60,63,626,504
323,ISIC_0000360,264,186,491,411
324,ISIC_0000361,168,99,566,480
325,ISIC_0000363,261,177,551,423
326,ISIC_0000364,138,72,587,504
327,ISIC_0000365,237,168,479,384
328,ISIC_0000366,234,174,449,366
329,ISIC_0000367,207,138,542,453
330,ISIC_0000368,132,45,668,528
331,ISIC_0000369,192,129,587,480
332,ISIC_0000370,192,111,581,471
333,ISIC_0000371,240,90,590,486
334,ISIC_0000372,234,183,503,420
335,ISIC_0000374,228,159,500,426
336,ISIC_0000376_downsampled,312,197,684,577
337,ISIC_0000377_downsampled,284,216,668,588
338,ISIC_0000378_downsampled,224,112,764,686
339,ISIC_0000379_downsampled,284,156,796,624
340,ISIC_0000380_downsampled,120,184,872,818
341,ISIC_0000381_downsampled,272,261,712,709
342,ISIC_0000382_downsampled,212,241,744,734
343,ISIC_0000383_downsampled,332,252,740,681
344,ISIC_0000384_downsampled,352,329,588,561
345,ISIC_0000385_downsampled,280,196,696,596
346,ISIC_0000386_downsampled,376,260,668,548
347,ISIC_0000387_downsampled,276,228,580,556
348,ISIC_0000388_downsampled,372,248,664,548
349,ISIC_0000390_downsampled,212,136,940,704
350,ISIC_0000391_downsampled,256,148,744,628
351,ISIC_0000392_downsampled,324,224,664,576
352,ISIC_0000393_downsampled,188,104,812,692
353,ISIC_0000395_downsampled,312,236,660,588
354,ISIC_0000396_downsampled,272,176,736,618
355,ISIC_0000397_downsampled,284,240,652,600
356,ISIC_0000403_downsampled,252,180,660,612
357,ISIC_0000407_downsampled,284,176,740,576
358,ISIC_0000408_downsampled,108,112,836,672
359,ISIC_0000409_downsampled,372,225,676,518
360,ISIC_0000410_downsampled,336,253,684,605
361,ISIC_0000412_downsampled,308,224,716,629
362,ISIC_0000413_downsampled,244,208,744,580
363,ISIC_0000415_downsampled,172,140,756,652
364,ISIC_0000416_downsampled,300,180,696,576
365,ISIC_0000418_downsampled,284,180,728,620
366,ISIC_0000419_downsampled,200,112,772,656
367,ISIC_0000420_downsampled,316,212,752,548
368,ISIC_0000421_downsampled,288,184,736,604
369,ISIC_0000423_downsampled,220,152,748,628
370,ISIC_0000425_downsampled,276,160,748,596
371,ISIC_0000426_downsampled,144,88,872,696
372,ISIC_0000427_downsampled,256,144,740,632
373,ISIC_0000431_downsampled,308,232,692,556
374,ISIC_0000433_downsampled,192,100,828,648
375,ISIC_0000434_downsampled,312,184,728,560
376,ISIC_0000436_downsampled,192,136,748,624
377,ISIC_0000439_downsampled,352,216,624,516
378,ISIC_0000442_downsampled,300,204,720,560
379,ISIC_0000443_downsampled,348,240,608,504
380,ISIC_0000444_downsampled,244,164,752,616
381,ISIC_0000445_downsampled,368,232,664,500
382,ISIC_0000447_downsampled,336,341,668,710
383,ISIC_0000448_downsampled,300,188,680,568
384,ISIC_0000449_downsampled,440,276,640,456
385,ISIC_0000451_downsampled,276,200,712,604
386,ISIC_0000452_downsampled,252,196,784,616
387,ISIC_0000453_downsampled,316,192,672,584
388,ISIC_0000455_downsampled,244,200,740,654
389,ISIC_0000456_downsampled,232,192,752,640
390,ISIC_0000457_downsampled,280,124,740,658
391,ISIC_0000458,226,162,668,629
392,ISIC_0000460,219,158,678,579
393,ISIC_0000461,165,205,678,619
394,ISIC_0000463_downsampled,284,88,720,552
395,ISIC_0000465,258,173,625,619
396,ISIC_0000466,169,137,714,687
397,ISIC_0000467,118,119,793,698
398,ISIC_0000468,165,111,747,647
399,ISIC_0000469,294,165,675,583
400,ISIC_0000470,302,227,600,565
401,ISIC_0000471,316,230,610,565
402,ISIC_0000473_downsampled,328,180,660,524
403,ISIC_0000474,147,79,790,651
404,ISIC_0000475,215,140,711,687
405,ISIC_0000476,93,97,729,698
406,ISIC_0000477,276,234,589,597
407,ISIC_0000478,129,97,747,665
408,ISIC_0000479,187,162,714,622
409,ISIC_0000480,280,219,585,583
410,ISIC_0000481,83,72,836,730
411,ISIC_0000482,223,191,678,554
412,ISIC_0000483,169,147,743,651
413,ISIC_0000484,194,198,621,590
414,ISIC_0000485,57,43,818,734
415,ISIC_0000486,269,187,600,619
416,ISIC_0000487,258,212,625,579
417,ISIC_0000488,298,241,610,554
418,ISIC_0000489,273,205,650,597
419,ISIC_0000490,201,122,743,673
420,ISIC_0000491,104,79,768,708
421,ISIC_0000492,309,234,592,547
422,ISIC_0000493,172,94,772,691
423,ISIC_0000494,312,245,582,565
424,ISIC_0000495,244,209,646,619
425,ISIC_0000496,228,104,691,625
426,ISIC_0000498,194,165,736,601
427,ISIC_0000499,348,266,564,489
428,ISIC_0000500,284,241,621,572
429,ISIC_0000501,266,187,650,586
430,ISIC_0000503,251,205,686,633
431,ISIC_0000504_downsampled,360,172,660,505
432,ISIC_0000505,284,165,678,633
433,ISIC_0000506,319,277,585,547
434,ISIC_0000507,220,96,691,566
435,ISIC_0000508,308,159,675,554
436,ISIC_0000509,294,144,653,640
437,ISIC_0000510,233,162,711,633
438,ISIC_0000511,104,86,772,691
439,ISIC_0000513,241,212,600,579
440,ISIC_0000514,273,194,632,557
441,ISIC_0000515,194,191,686,622
442,ISIC_0000516,190,126,707,662
443,ISIC_0000517,208,201,711,626
444,ISIC_0000518,223,176,689,640
445,ISIC_0000519_downsampled,212,108,832,660
446,ISIC_0000520_downsampled,300,208,648,576
447,ISIC_0000521_downsampled,152,152,888,664
448,ISIC_0000522,273,252,610,622
449,ISIC_0000523,251,234,600,590
450,ISIC_0000524,176,158,757,640
451,ISIC_0000525,271,130,763,577
452,ISIC_0000527,280,194,675,578
453,ISIC_0000528,339,217,587,478
454,ISIC_0000529_downsampled,236,96,832,638
455,ISIC_0000530,262,209,617,611
456,ISIC_0000531,305,216,646,583
457,ISIC_0000532,233,158,696,608
458,ISIC_0000533,310,124,746,558
459,ISIC_0000534,116,113,675,609
460,ISIC_0000535,200,145,572,513
461,ISIC_0000536,295,227,473,436
462,ISIC_0000537,181,132,637,574
463,ISIC_0000538,207,174,578,522
464,ISIC_0000539,142,90,659,580
465,ISIC_0000540,55,81,679,648
466,ISIC_0000541,187,142,604,593
467,ISIC_0000542,168,184,611,542
468,ISIC_0000543,184,110,626,540
469,ISIC_0000544,168,148,604,609
470,ISIC_0000545,158,52,640,609
471,ISIC_0000546,155,126,701,603
472,ISIC_0000547,178,126,601,545
473,ISIC_0000548,181,160,590,545
474,ISIC_0000549,207,123,614,587
475,ISIC_0000550,145,126,653,590
476,ISIC_0000551,160,69,674,509
477,ISIC_0000552,80,40,584,516
478,ISIC_0000554,207,116,598,548
479,ISIC_0000555,261,239,542,484
480,ISIC_0000556,116,97,617,580
481,ISIC_0000882_downsampled,300,168,600,481
482,ISIC_0000900_downsampled,324,173,540,401
483,ISIC_0000999_downsampled,392,197,704,473
484,ISIC_0001100_downsampled,280,272,608,552
485,ISIC_0001102_downsampled,148,128,824,640
486,ISIC_0001103_downsampled,360,160,676,493
487,ISIC_0001105_downsampled,356,216,692,544
488,ISIC_0001106_downsampled,308,224,664,525
489,ISIC_0001118_downsampled,116,100,924,617
490,ISIC_0001119_downsampled,340,216,656,540
491,ISIC_0001126_downsampled,280,196,748,556
492,ISIC_0001128_downsampled,352,204,720,560
493,ISIC_0001131_downsampled,204,44,840,640
494,ISIC_0001133_downsampled,248,176,780,596
495,ISIC_0001134_downsampled,364,256,640,504
496,ISIC_0001140_downsampled,248,200,804,804
497,ISIC_0001142_downsampled,264,160,708,628
498,ISIC_0001148_downsampled,232,160,728,612
499,ISIC_0001152_downsampled,252,116,800,505
500,ISIC_0001163_downsampled,308,213,524,421
501,ISIC_0001181_downsampled,396,248,596,436
502,ISIC_0001184_downsampled,384,248,540,404
503,ISIC_0001185_downsampled,304,216,484,400
504,ISIC_0001186_downsampled,320,240,504,408
505,ISIC_0001187_downsampled,328,180,552,428
506,ISIC_0001188_downsampled,308,204,572,416
507,ISIC_0001190_downsampled,352,204,516,368
508,ISIC_0001191_downsampled,320,208,600,468
509,ISIC_0001204_downsampled,292,193,528,465
510,ISIC_0001212_downsampled,364,192,540,432
511,ISIC_0001213_downsampled,328,240,528,444
512,ISIC_0001216_downsampled,364,228,588,428
513,ISIC_0001242_downsampled,344,240,508,400
514,ISIC_0001247_downsampled,368,201,652,441
515,ISIC_0001254_downsampled,300,209,532,421
516,ISIC_0001262_downsampled,388,225,592,449
517,ISIC_0001267_downsampled,368,213,588,429
518,ISIC_0001275_downsampled,356,201,560,397
519,ISIC_0001286_downsampled,316,229,488,425
520,ISIC_0001292_downsampled,352,197,600,441
521,ISIC_0001296_downsampled,380,221,580,445
522,ISIC_0001299_downsampled,288,160,596,445
523,ISIC_0001306_downsampled,356,241,556,457
524,ISIC_0001367_downsampled,408,237,592,441
525,ISIC_0001372_downsampled,340,189,544,413
526,ISIC_0001374_downsampled,344,245,568,477
527,ISIC_0001385_downsampled,344,193,492,381
528,ISIC_0001423_downsampled,268,156,552,445
529,ISIC_0001427_downsampled,244,181,524,437
530,ISIC_0001442_downsampled,340,229,580,461
531,ISIC_0001449_downsampled,312,173,580,449
532,ISIC_0001769_downsampled,412,249,628,461
533,ISIC_0001852_downsampled,428,257,588,405
534,ISIC_0001871_downsampled,372,209,564,393
535,ISIC_0001960_downsampled,352,193,556,409
536,ISIC_0002093_downsampled,216,205,500,530
537,ISIC_0002107_downsampled,296,237,556,477
538,ISIC_0002206_downsampled,344,193,520,349
539,ISIC_0002246_downsampled,392,185,676,453
540,ISIC_0002251_downsampled,400,225,664,461
541,ISIC_0002287_downsampled,272,209,508,449
542,ISIC_0002353_downsampled,388,253,568,457
543,ISIC_0002374_downsampled,324,225,524,425
544,ISIC_0002438_downsampled,420,197,648,429
545,ISIC_0002439_downsampled,328,148,604,425
546,ISIC_0002453_downsampled,456,205,628,389
547,ISIC_0002459_downsampled,364,217,556,409
548,ISIC_0002469_downsampled,356,193,556,425
549,ISIC_0002476_downsampled,396,277,596,461
550,ISIC_0002488_downsampled,348,217,584,445
551,ISIC_0002489_downsampled,384,229,588,433
552,ISIC_0002616_downsampled,372,260,528,404
553,ISIC_0002647_downsampled,380,224,532,376
554,ISIC_0002673_downsampled,332,197,560,433
555,ISIC_0002780_downsampled,312,260,496,448
556,ISIC_0002806_downsampled,336,224,536,416
557,ISIC_0002829_downsampled,380,249,588,469
558,ISIC_0002836_downsampled,244,208,540,524
559,ISIC_0002871_downsampled,320,200,536,424
560,ISIC_0002879_downsampled,296,177,544,425
561,ISIC_0002885_downsampled,312,220,580,436
562,ISIC_0002948_downsampled,412,225,572,401
563,ISIC_0002975_downsampled,340,240,524,424
564,ISIC_0002976_downsampled,368,228,528,396
565,ISIC_0003005_downsampled,320,197,528,401
566,ISIC_0003051_downsampled,440,252,600,424
567,ISIC_0003056_downsampled,352,196,528,424
568,ISIC_0003174_downsampled,332,253,528,441
569,ISIC_0003308_downsampled,344,217,564,469
570,ISIC_0003346_downsampled,344,216,560,428
571,ISIC_0003462_downsampled,356,213,540,405
572,ISIC_0003539_downsampled,416,197,608,393
573,ISIC_0003559_downsampled,360,236,552,432
574,ISIC_0003582_downsampled,244,144,640,509
575,ISIC_0003657_downsampled,304,209,528,429
576,ISIC_0003728_downsampled,436,197,692,429
577,ISIC_0003805_downsampled,376,225,596,437
578,ISIC_0004110_downsampled,252,181,584,522
579,ISIC_0004115_downsampled,324,216,564,464
580,ISIC_0004166_downsampled,296,212,496,436
581,ISIC_0004168_downsampled,388,228,528,372
582,ISIC_0004309_downsampled,364,228,524,392
583,ISIC_0004337_downsampled,380,277,556,441
584,ISIC_0004346_downsampled,452,236,620,400
585,ISIC_0004715_downsampled,396,245,592,469
586,ISIC_0004985_downsampled,244,212,488,484
587,ISIC_0005000_downsampled,368,200,588,405
588,ISIC_0005187_downsampled,424,245,636,461
589,ISIC_0005247_downsampled,324,193,584,449
590,ISIC_0005548_downsampled,304,173,684,485
591,ISIC_0005555_downsampled,372,229,556,433
592,ISIC_0005564_downsampled,204,128,568,465
593,ISIC_0005620_downsampled,340,233,516,413
594,ISIC_0005639_downsampled,348,181,576,425
595,ISIC_0005666_downsampled,332,185,596,449
596,ISIC_0005787_downsampled,388,205,616,445
597,ISIC_0006021_downsampled,360,192,600,420
598,ISIC_0006114_downsampled,244,217,536,465
599,ISIC_0006193_downsampled,400,225,592,405
600,ISIC_0006326_downsampled,400,217,636,441
601,ISIC_0006350_downsampled,284,164,640,514
602,ISIC_0006612_downsampled,384,236,544,392
603,ISIC_0006651_downsampled,348,201,576,409
604,ISIC_0006671_downsampled,388,245,576,457
605,ISIC_0006711_downsampled,340,216,516,388
606,ISIC_0006776_downsampled,348,173,584,429
607,ISIC_0006795_downsampled,400,232,568,408
608,ISIC_0006800_downsampled,392,229,608,457
609,ISIC_0006815_downsampled,420,244,568,396
610,ISIC_0006914_downsampled,376,237,600,461
611,ISIC_0006940_downsampled,344,240,572,468
612,ISIC_0006982_downsampled,292,201,588,469
613,ISIC_0007038_downsampled,372,208,548,372
614,ISIC_0007087_downsampled,328,197,564,437
615,ISIC_0007141_downsampled,400,181,692,465
616,ISIC_0007156_downsampled,304,173,532,413
617,ISIC_0007235_downsampled,304,184,532,444
618,ISIC_0007241_downsampled,388,261,556,425
619,ISIC_0007322_downsampled,304,192,552,468
620,ISIC_0007332_downsampled,292,164,576,453
621,ISIC_0007344_downsampled,296,225,548,489
622,ISIC_0007475_downsampled,284,177,536,425
623,ISIC_0007528_downsampled,432,237,588,401
624,ISIC_0007557_downsampled,260,225,504,481
625,ISIC_0007693_downsampled,416,245,616,465
626,ISIC_0007760_downsampled,280,168,536,405
627,ISIC_0007788_downsampled,332,252,556,468
628,ISIC_0007796_downsampled,388,241,552,397
629,ISIC_0008025_downsampled,360,217,580,445
630,ISIC_0008029_downsampled,296,168,532,420
631,ISIC_0008116_downsampled,276,197,532,441
632,ISIC_0008145_downsampled,420,216,576,372
633,ISIC_0008207_downsampled,320,168,580,400
634,ISIC_0008236_downsampled,384,204,544,360
635,ISIC_0008256_downsampled,356,216,560,404
636,ISIC_0008280_downsampled,316,193,568,437
637,ISIC_0008294_downsampled,400,241,576,409
