fname,x1,y1,x2,y2
ISIC_0024401,112,23,448,417
ISIC_0024402,272,183,349,267
ISIC_0024403,155,98,443,354
ISIC_0024404,244,162,429,340
ISIC_0024405,112,66,441,377
ISIC_0024406,188,103,427,321
ISIC_0024407,216,136,405,314
ISIC_0024408,169,120,434,368
ISIC_0024409,197,159,359,309
ISIC_0024410,180,129,389,298
ISIC_0024411,209,152,366,291
ISIC_0024412,164,129,410,363
ISIC_0024413,129,54,476,342
ISIC_0024414,145,68,488,410
ISIC_0024415,61,2,532,431
ISIC_0024416,270,213,335,277
ISIC_0024417,141,82,450,396
ISIC_0024418,234,145,389,291
ISIC_0024419,141,103,424,366
ISIC_0024420,103,52,504,389
ISIC_0024421,169,110,422,349
ISIC_0024422,178,115,448,361
ISIC_0024423,169,112,445,396
ISIC_0024424,112,94,452,377
ISIC_0024425,171,120,422,356
ISIC_0024426,82,38,506,401
ISIC_0024427,120,21,485,405
ISIC_0024428,112,77,424,391
ISIC_0024429,68,45,534,420
ISIC_0024430,178,96,443,370
ISIC_0024431,157,108,429,333
ISIC_0024432,218,150,382,291
ISIC_0024433,134,115,377,316
ISIC_0024434,134,103,434,356
ISIC_0024435,195,129,420,333
ISIC_0024436,197,155,382,302
ISIC_0024437,248,171,335,262
ISIC_0024438,112,40,495,417
ISIC_0024439,157,134,448,368
ISIC_0024440,108,52,464,373
ISIC_0024441,136,80,466,382
ISIC_0024442,141,68,450,370
ISIC_0024443,262,183,326,253
ISIC_0024444,105,56,438,349
ISIC_0024445,209,141,375,288
ISIC_0024446,138,84,431,368
ISIC_0024447,192,129,429,335
ISIC_0024448,103,87,488,401
ISIC_0024449,75,54,530,443
ISIC_0024450,80,80,502,384
ISIC_0024451,91,30,525,420
ISIC_0024452,216,134,443,347
ISIC_0024453,124,73,490,389
ISIC_0024454,108,98,422,410
ISIC_0024455,195,101,424,328
ISIC_0024456,117,68,471,398
ISIC_0024457,70,26,511,424
ISIC_0024458,52,9,551,455
ISIC_0024459,49,59,476,401
ISIC_0024460,129,45,459,380
ISIC_0024461,141,70,488,401
ISIC_0024462,56,26,518,420
ISIC_0024463,70,52,520,410
ISIC_0024464,77,21,499,436
ISIC_0024465,80,40,492,415
ISIC_0024466,120,73,473,382
ISIC_0024467,150,73,405,326
ISIC_0024468,91,47,499,401
ISIC_0024469,127,54,483,405
ISIC_0024470,105,66,495,394
ISIC_0024471,66,38,513,403
ISIC_0024472,96,89,466,375
ISIC_0024473,131,68,469,398
ISIC_0024474,52,40,513,431
ISIC_0024475,178,129,427,349
ISIC_0024476,117,66,516,422
ISIC_0024477,134,80,448,377
ISIC_0024478,192,134,410,323
ISIC_0024479,185,122,389,305
ISIC_0024480,120,66,504,384
ISIC_0024481,190,120,415,328
ISIC_0024482,54,16,530,422
ISIC_0024483,141,56,450,387
ISIC_0024484,141,63,469,391
ISIC_0024485,155,70,415,330
ISIC_0024486,206,127,452,347
ISIC_0024487,185,122,431,368
ISIC_0024488,103,68,476,412
ISIC_0024489,84,66,497,396
ISIC_0024490,148,101,452,363
ISIC_0024491,131,87,445,354
ISIC_0024492,195,98,398,314
ISIC_0024493,82,45,483,405
ISIC_0024494,103,61,490,398
ISIC_0024495,218,162,342,291
ISIC_0024496,162,59,408,352
ISIC_0024497,129,82,424,375
ISIC_0024498,178,112,410,384
ISIC_0024499,131,68,424,361
ISIC_0024500,209,141,410,338
ISIC_0024501,178,59,438,349
ISIC_0024502,171,96,410,335
ISIC_0024503,176,124,408,345
ISIC_0024504,173,96,431,335
ISIC_0024505,164,87,429,347
ISIC_0024506,171,112,466,405
ISIC_0024507,110,84,448,375
ISIC_0024508,120,47,443,384
ISIC_0024509,112,30,462,429
ISIC_0024510,157,47,504,396
ISIC_0024511,169,110,434,356
ISIC_0024512,110,38,459,394
ISIC_0024513,131,52,448,382
ISIC_0024514,148,98,420,347
ISIC_0024515,138,61,485,391
ISIC_0024516,52,54,476,412
ISIC_0024517,183,122,427,338
ISIC_0024518,87,28,466,438
ISIC_0024519,204,134,401,309
ISIC_0024520,127,82,471,359
ISIC_0024521,157,70,457,352
ISIC_0024522,197,148,417,335
ISIC_0024523,96,61,476,396
ISIC_0024524,211,136,380,300
ISIC_0024525,157,70,436,382
ISIC_0024526,190,108,488,368
ISIC_0024527,138,77,445,370
ISIC_0024528,136,56,471,375
ISIC_0024529,115,42,480,382
ISIC_0024530,162,110,443,368
ISIC_0024531,183,124,384,342
ISIC_0024532,155,91,443,363
ISIC_0024533,141,103,410,356
ISIC_0024534,56,35,534,427
ISIC_0024535,70,16,544,438
ISIC_0024536,155,75,459,352
ISIC_0024537,138,80,469,380
ISIC_0024538,122,56,511,373
ISIC_0024539,89,19,492,415
ISIC_0024540,213,129,389,302
ISIC_0024541,180,134,427,347
ISIC_0024542,209,110,391,300
ISIC_0024543,75,38,506,384
ISIC_0024544,96,28,480,412
ISIC_0024545,141,80,488,403
ISIC_0024546,91,40,509,424
ISIC_0024547,117,63,488,389
ISIC_0024548,124,115,415,352
ISIC_0024549,98,40,504,417
ISIC_0024550,157,98,412,359
ISIC_0024551,110,52,466,412
ISIC_0024552,82,35,530,412
ISIC_0024553,129,75,471,387
ISIC_0024554,105,82,462,380
ISIC_0024555,124,94,417,363
ISIC_0024556,166,75,408,323
ISIC_0024557,82,33,520,438
ISIC_0024558,75,26,490,417
ISIC_0024559,110,19,502,436
ISIC_0024560,183,129,427,340
ISIC_0024561,258,176,417,328
ISIC_0024562,152,94,443,373
ISIC_0024563,110,45,471,405
ISIC_0024564,131,87,473,380
ISIC_0024565,164,127,408,366
ISIC_0024566,258,180,368,284
ISIC_0024567,152,94,462,412
ISIC_0024568,176,77,443,359
ISIC_0024569,117,35,490,403
ISIC_0024570,110,54,492,391
ISIC_0024571,152,110,403,354
ISIC_0024572,216,152,373,300
ISIC_0024573,162,89,420,347
ISIC_0024574,152,105,438,384
ISIC_0024575,120,70,469,401
ISIC_0024576,180,120,377,307
ISIC_0024577,188,117,415,319
ISIC_0024578,164,91,455,356
ISIC_0024579,129,89,459,401
ISIC_0024580,105,84,427,394
ISIC_0024581,141,98,445,370
ISIC_0024582,213,143,387,316
ISIC_0024583,117,28,506,384
ISIC_0024584,122,70,488,391
ISIC_0024585,134,56,459,410
ISIC_0024586,248,171,342,270
ISIC_0024587,14,7,567,424
ISIC_0024588,103,45,476,401
ISIC_0024589,150,84,422,347
ISIC_0024590,173,127,443,349
ISIC_0024591,197,75,466,359
ISIC_0024592,94,52,485,403
ISIC_0024593,108,12,499,434
ISIC_0024594,227,138,396,298
ISIC_0024595,204,148,391,342
ISIC_0024596,159,103,441,354
ISIC_0024597,211,150,380,349
ISIC_0024598,159,87,396,300
ISIC_0024599,234,183,368,307
ISIC_0024600,145,80,488,398
ISIC_0024601,112,45,434,340
ISIC_0024602,209,164,354,302
ISIC_0024603,136,103,488,398
ISIC_0024604,241,180,323,265
ISIC_0024605,173,49,429,352
ISIC_0024606,176,103,422,380
ISIC_0024607,150,47,497,408
ISIC_0024608,87,33,565,417
ISIC_0024609,96,42,497,408
ISIC_0024610,190,115,417,330
ISIC_0024611,66,5,539,441
ISIC_0024612,220,148,391,305
ISIC_0024613,169,75,429,345
ISIC_0024614,127,115,469,391
ISIC_0024615,225,166,356,291
ISIC_0024616,141,101,473,375
ISIC_0024617,49,54,532,405
ISIC_0024618,220,117,448,307
ISIC_0024619,94,54,518,427
ISIC_0024620,150,108,431,347
ISIC_0024621,150,80,480,387
ISIC_0024622,134,59,480,396
ISIC_0024623,136,45,469,368
ISIC_0024624,124,122,427,359
ISIC_0024625,122,80,502,424
ISIC_0024626,138,94,441,366
ISIC_0024627,122,49,495,375
ISIC_0024628,209,120,415,316
ISIC_0024629,124,42,518,382
ISIC_0024630,84,68,443,380
ISIC_0024631,159,94,438,366
ISIC_0024632,180,127,408,359
ISIC_0024633,192,108,408,330
ISIC_0024634,173,134,375,340
ISIC_0024635,141,84,455,391
ISIC_0024636,89,35,530,403
ISIC_0024637,59,23,504,417
ISIC_0024638,150,77,441,359
ISIC_0024639,101,54,459,398
ISIC_0024640,96,47,516,408
ISIC_0024641,190,98,469,405
ISIC_0024642,258,185,349,288
ISIC_0024643,166,115,464,352
ISIC_0024644,103,77,490,389
ISIC_0024645,152,80,478,361
ISIC_0024646,171,101,427,368
ISIC_0024647,131,61,480,389
ISIC_0024648,101,28,492,389
ISIC_0024649,209,155,403,347
ISIC_0024650,115,66,466,412
ISIC_0024651,115,54,450,382
ISIC_0024652,105,77,478,382
ISIC_0024653,246,105,450,307
ISIC_0024654,223,185,359,307
ISIC_0024655,117,73,485,396
ISIC_0024656,159,89,422,356
ISIC_0024657,188,112,441,356
ISIC_0024658,115,68,490,375
ISIC_0024659,157,108,450,375
ISIC_0024660,124,42,464,370
ISIC_0024661,105,42,497,410
ISIC_0024662,112,26,480,405
ISIC_0024663,234,148,427,326
ISIC_0024664,262,192,326,270
ISIC_0024665,190,127,422,354
ISIC_0024666,169,87,434,368
ISIC_0024667,98,40,478,373
ISIC_0024668,260,150,410,316
ISIC_0024669,248,183,333,277
ISIC_0024670,124,61,434,354
ISIC_0024671,192,103,438,335
ISIC_0024672,136,108,441,366
ISIC_0024673,148,112,448,368
ISIC_0024674,49,66,497,415
ISIC_0024675,272,185,347,260
ISIC_0024676,143,96,445,384
ISIC_0024677,136,59,462,375
ISIC_0024678,246,136,473,340
ISIC_0024679,115,91,462,398
ISIC_0024680,204,145,370,288
ISIC_0024681,112,47,502,417
ISIC_0024682,136,63,506,396
ISIC_0024683,227,166,366,305
ISIC_0024684,70,16,506,415
ISIC_0024685,136,66,492,394
ISIC_0024686,105,73,422,352
ISIC_0024687,68,40,504,443
ISIC_0024688,162,75,473,375
ISIC_0024689,178,105,452,345
ISIC_0024690,105,63,478,408
ISIC_0024691,56,9,544,436
ISIC_0024692,84,30,513,429
ISIC_0024693,120,52,488,396
ISIC_0024694,122,49,483,417
ISIC_0024695,87,30,509,450
ISIC_0024696,91,12,492,417
ISIC_0024697,84,52,523,359
ISIC_0024698,248,164,345,262
ISIC_0024699,152,63,483,401
ISIC_0024700,68,14,504,445
ISIC_0024701,59,59,483,422
ISIC_0024702,173,112,516,361
ISIC_0024703,112,40,459,412
ISIC_0024704,270,197,368,293
ISIC_0024705,98,68,483,405
ISIC_0024706,180,101,450,342
ISIC_0024707,136,75,464,363
ISIC_0024708,82,77,473,377
ISIC_0024709,134,77,455,380
ISIC_0024710,94,52,499,389
ISIC_0024711,150,87,471,368
ISIC_0024712,225,136,359,291
ISIC_0024713,115,35,502,398
ISIC_0024714,241,155,366,267
ISIC_0024715,171,120,427,340
ISIC_0024716,225,166,382,316
ISIC_0024717,188,84,450,373
ISIC_0024718,120,84,495,394
ISIC_0024719,171,42,492,359
ISIC_0024720,63,49,527,422
ISIC_0024721,171,75,443,361
ISIC_0024722,108,54,506,431
ISIC_0024723,94,40,483,431
ISIC_0024724,136,42,502,382
ISIC_0024725,145,96,422,370
ISIC_0024726,192,96,459,370
ISIC_0024727,108,70,502,436
ISIC_0024728,148,54,459,333
ISIC_0024729,190,103,420,333
ISIC_0024730,206,148,375,291
ISIC_0024731,164,127,438,356
ISIC_0024732,134,66,438,396
ISIC_0024733,131,75,450,375
ISIC_0024734,178,141,368,312
ISIC_0024735,159,68,429,361
ISIC_0024736,108,35,518,405
ISIC_0024737,204,101,410,316
ISIC_0024738,110,56,431,382
ISIC_0024739,171,101,410,349
ISIC_0024740,204,164,347,305
ISIC_0024741,115,84,452,370
ISIC_0024742,117,82,422,352
ISIC_0024743,192,155,382,335
ISIC_0024744,180,61,457,338
ISIC_0024745,131,49,459,403
ISIC_0024746,101,47,492,415
ISIC_0024747,202,127,396,309
ISIC_0024748,176,98,417,333
ISIC_0024749,136,40,478,405
ISIC_0024750,73,40,480,396
ISIC_0024751,68,23,527,438
ISIC_0024752,59,35,530,403
ISIC_0024753,171,98,443,363
ISIC_0024754,80,38,483,403
ISIC_0024755,183,117,408,342
ISIC_0024756,108,63,502,412
ISIC_0024757,141,94,434,338
ISIC_0024758,206,150,373,319
ISIC_0024759,148,82,448,363
ISIC_0024760,148,77,462,375
ISIC_0024761,164,105,422,354
ISIC_0024762,234,192,302,267
ISIC_0024763,169,103,445,382
ISIC_0024764,169,66,424,330
ISIC_0024765,138,77,455,410
ISIC_0024766,159,131,424,384
ISIC_0024767,173,110,422,338
ISIC_0024768,98,56,509,401
ISIC_0024769,112,26,438,403
ISIC_0024770,162,101,441,335
ISIC_0024771,136,66,473,375
ISIC_0024772,173,120,410,328
ISIC_0024773,141,89,464,366
ISIC_0024774,87,52,492,415
ISIC_0024775,152,59,401,321
ISIC_0024776,101,49,466,352
ISIC_0024777,45,-2,555,469
ISIC_0024778,145,87,424,330
ISIC_0024779,129,101,412,377
ISIC_0024780,120,63,455,373
ISIC_0024781,227,157,340,272
ISIC_0024782,216,122,387,302
ISIC_0024783,33,33,473,518
ISIC_0024784,246,180,342,281
ISIC_0024785,211,124,412,316
ISIC_0024786,94,56,506,398
ISIC_0024787,169,112,427,349
ISIC_0024788,84,30,478,398
ISIC_0024789,180,136,361,314
ISIC_0024790,112,112,464,384
ISIC_0024791,213,124,443,370
ISIC_0024792,75,47,483,403
ISIC_0024793,206,136,424,366
ISIC_0024794,91,7,544,429
ISIC_0024795,188,122,403,342
ISIC_0024796,183,131,391,328
ISIC_0024797,91,16,513,431
ISIC_0024798,255,155,368,262
ISIC_0024799,195,141,417,321
ISIC_0024800,87,54,478,396
ISIC_0024801,98,38,488,417
ISIC_0024802,96,49,485,417
ISIC_0024803,157,127,363,333
ISIC_0024804,120,59,462,387
ISIC_0024805,131,94,488,366
ISIC_0024806,94,40,509,422
ISIC_0024807,98,56,488,384
ISIC_0024808,253,180,377,300
ISIC_0024809,173,124,422,335
ISIC_0024810,112,75,509,368
ISIC_0024811,98,30,523,431
ISIC_0024812,124,30,480,375
ISIC_0024813,166,96,443,333
ISIC_0024814,122,35,448,403
ISIC_0024815,173,68,422,323
ISIC_0024816,115,33,483,398
ISIC_0024817,164,105,450,380
ISIC_0024818,251,202,328,284
ISIC_0024819,143,68,459,384
ISIC_0024820,115,52,473,431
ISIC_0024821,246,188,323,272
ISIC_0024822,94,61,450,389
ISIC_0024823,103,61,513,405
ISIC_0024824,176,110,441,349
ISIC_0024825,98,101,469,396
ISIC_0024826,159,134,396,368
ISIC_0024827,166,141,403,356
ISIC_0024828,155,94,431,368
ISIC_0024829,155,98,452,375
ISIC_0024830,152,103,438,340
ISIC_0024831,262,197,328,274
ISIC_0024832,227,159,363,300
ISIC_0024833,129,89,438,375
ISIC_0024834,127,75,466,347
ISIC_0024835,138,91,443,352
ISIC_0024836,225,131,375,277
ISIC_0024837,173,129,398,328
ISIC_0024838,148,103,452,377
ISIC_0024839,171,82,455,377
ISIC_0024840,110,54,464,359
ISIC_0024841,197,145,387,321
ISIC_0024842,216,150,382,305
ISIC_0024843,63,38,520,422
ISIC_0024844,77,28,485,420
ISIC_0024845,178,122,417,319
ISIC_0024846,124,40,506,415
ISIC_0024847,206,112,441,326
ISIC_0024848,178,117,412,333
ISIC_0024849,110,21,509,412
ISIC_0024850,63,33,476,412
ISIC_0024851,52,33,513,441
ISIC_0024852,122,73,478,380
ISIC_0024853,80,56,495,405
ISIC_0024854,195,150,349,307
ISIC_0024855,143,70,480,368
ISIC_0024856,209,134,396,347
ISIC_0024857,213,148,373,323
ISIC_0024858,127,70,476,391
ISIC_0024859,122,73,492,427
ISIC_0024860,164,98,431,340
ISIC_0024861,96,47,502,420
ISIC_0024862,91,56,490,405
ISIC_0024863,143,59,476,382
ISIC_0024864,96,19,520,396
ISIC_0024865,190,143,396,342
ISIC_0024866,188,131,375,302
ISIC_0024867,166,127,405,333
ISIC_0024868,166,101,422,338
ISIC_0024869,227,166,384,321
ISIC_0024870,171,40,445,389
ISIC_0024871,180,117,422,361
ISIC_0024872,110,56,483,412
ISIC_0024873,141,66,480,380
ISIC_0024874,157,89,403,321
ISIC_0024875,143,82,429,333
ISIC_0024876,274,188,361,281
ISIC_0024877,136,63,471,370
ISIC_0024878,105,45,504,434
ISIC_0024879,26,12,485,445
ISIC_0024880,136,70,462,375
ISIC_0024881,185,105,445,338
ISIC_0024882,162,101,429,361
ISIC_0024883,260,190,338,267
ISIC_0024884,192,91,457,352
ISIC_0024885,155,96,410,363
ISIC_0024886,157,87,441,349
ISIC_0024887,195,117,417,347
ISIC_0024888,213,152,429,356
ISIC_0024889,105,56,483,441
ISIC_0024890,122,89,483,366
ISIC_0024891,148,89,438,347
ISIC_0024892,178,82,464,335
ISIC_0024893,150,45,469,354
ISIC_0024894,122,45,502,436
ISIC_0024895,120,49,466,368
ISIC_0024896,255,145,363,258
ISIC_0024897,197,117,387,333
ISIC_0024898,105,26,485,405
ISIC_0024899,108,59,462,349
ISIC_0024900,157,110,427,398
ISIC_0024901,124,70,476,389
ISIC_0024902,136,134,448,359
ISIC_0024903,129,66,485,401
ISIC_0024904,204,138,370,307
ISIC_0024905,134,80,457,408
ISIC_0024906,246,176,342,277
ISIC_0024907,213,171,356,288
ISIC_0024908,232,183,384,330
ISIC_0024909,162,108,417,363
ISIC_0024910,75,56,513,431
ISIC_0024911,239,166,328,265
ISIC_0024912,162,98,469,389
ISIC_0024913,178,87,448,380
ISIC_0024914,122,49,427,359
ISIC_0024915,239,178,345,284
ISIC_0024916,162,112,403,328
ISIC_0024917,127,61,499,401
ISIC_0024918,183,115,410,314
ISIC_0024919,115,45,480,431
ISIC_0024920,117,59,459,405
ISIC_0024921,108,47,490,415
ISIC_0024922,227,120,466,330
ISIC_0024923,143,82,483,387
ISIC_0024924,183,112,424,347
ISIC_0024925,152,98,448,349
ISIC_0024926,166,122,438,363
ISIC_0024927,117,52,490,398
ISIC_0024928,162,89,473,335
ISIC_0024929,49,-7,546,455
ISIC_0024930,82,35,488,420
ISIC_0024931,255,192,380,312
ISIC_0024932,197,145,387,323
ISIC_0024933,274,190,389,300
ISIC_0024934,96,98,473,356
ISIC_0024935,176,117,417,328
ISIC_0024936,66,26,560,443
ISIC_0024937,148,117,427,330
ISIC_0024938,120,52,502,384
ISIC_0024939,150,54,466,391
ISIC_0024940,96,45,499,401
ISIC_0024941,176,105,429,330
ISIC_0024942,192,112,387,291
ISIC_0024943,176,127,394,335
ISIC_0024944,56,42,520,424
ISIC_0024945,40,19,565,480
ISIC_0024946,171,108,420,352
ISIC_0024947,237,159,340,270
ISIC_0024948,-33,77,504,663
ISIC_0024949,129,96,455,375
ISIC_0024950,115,73,462,382
ISIC_0024951,155,87,450,361
ISIC_0024952,129,61,450,361
ISIC_0024953,73,35,509,448
ISIC_0024954,94,49,527,431
ISIC_0024955,155,101,443,335
ISIC_0024956,148,52,445,335
ISIC_0024957,89,75,462,403
ISIC_0024958,108,91,452,387
ISIC_0024959,190,129,429,352
ISIC_0024960,145,75,466,398
ISIC_0024961,28,38,546,420
ISIC_0024962,108,66,520,403
ISIC_0024963,185,117,391,347
ISIC_0024964,87,45,490,405
ISIC_0024965,152,73,464,382
ISIC_0024966,183,122,420,354
ISIC_0024967,166,89,455,340
ISIC_0024968,143,103,429,361
ISIC_0024969,255,188,328,265
ISIC_0024970,134,47,450,394
ISIC_0024971,115,82,436,398
ISIC_0024972,166,103,450,380
ISIC_0024973,91,54,488,384
ISIC_0024974,155,75,469,394
ISIC_0024975,42,19,534,422
ISIC_0024976,101,73,455,420
ISIC_0024977,162,56,429,370
ISIC_0024978,155,96,450,373
ISIC_0024979,101,33,527,403
ISIC_0024980,122,38,495,373
ISIC_0024981,211,145,375,293
ISIC_0024982,246,155,368,281
ISIC_0024983,101,52,471,384
ISIC_0024984,195,143,370,321
ISIC_0024985,117,61,441,368
ISIC_0024986,204,157,359,302
ISIC_0024987,127,110,396,340
ISIC_0024988,148,80,452,424
ISIC_0024989,131,75,457,389
ISIC_0024990,124,59,506,427
ISIC_0024991,112,45,471,398
ISIC_0024992,61,30,532,431
ISIC_0024993,202,155,338,272
ISIC_0024994,120,63,478,405
ISIC_0024995,176,120,417,314
ISIC_0024996,171,98,415,319
ISIC_0024997,120,73,434,387
ISIC_0024998,225,152,401,302
ISIC_0024999,56,33,553,398
ISIC_0025000,284,206,356,284
ISIC_0025001,255,185,356,284
ISIC_0025002,94,56,509,403
ISIC_0025003,159,129,424,387
ISIC_0025004,185,124,420,342
ISIC_0025005,159,108,408,375
ISIC_0025006,129,59,478,408
ISIC_0025007,159,131,384,354
ISIC_0025008,94,66,495,434
ISIC_0025009,143,94,445,359
ISIC_0025010,120,68,457,389
ISIC_0025011,141,49,471,382
ISIC_0025012,152,103,427,373
ISIC_0025013,89,45,497,401
ISIC_0025014,94,35,513,401
ISIC_0025015,166,103,434,340
ISIC_0025016,237,148,387,293
ISIC_0025017,178,98,438,361
ISIC_0025018,234,145,356,270
ISIC_0025019,115,73,492,382
ISIC_0025020,129,73,478,380
ISIC_0025021,101,47,513,412
ISIC_0025022,110,33,483,410
ISIC_0025023,75,16,530,448
ISIC_0025024,120,52,476,415
ISIC_0025025,84,30,483,438
ISIC_0025026,195,94,408,321
ISIC_0025027,227,162,356,288
ISIC_0025028,138,38,490,375
ISIC_0025029,98,54,488,394
ISIC_0025030,185,110,420,345
ISIC_0025031,195,138,398,338
ISIC_0025032,91,63,502,389
ISIC_0025033,164,105,403,326
ISIC_0025034,61,33,513,403
ISIC_0025035,185,110,420,345
ISIC_0025036,124,70,473,384
ISIC_0025037,103,35,497,403
ISIC_0025038,164,98,445,349
ISIC_0025039,148,77,415,349
ISIC_0025040,241,169,333,260
ISIC_0025041,77,30,513,420
ISIC_0025042,129,45,469,347
ISIC_0025043,220,162,359,286
ISIC_0025044,152,129,366,330
ISIC_0025045,155,91,445,349
ISIC_0025046,171,73,422,375
ISIC_0025047,73,45,457,405
ISIC_0025048,136,70,483,412
ISIC_0025049,98,54,469,373
ISIC_0025050,63,35,530,434
ISIC_0025051,131,115,436,356
ISIC_0025052,141,120,401,345
ISIC_0025053,108,47,518,448
ISIC_0025054,155,94,415,359
ISIC_0025055,131,75,441,352
ISIC_0025056,185,80,445,342
ISIC_0025057,143,77,436,349
ISIC_0025058,122,63,452,408
ISIC_0025059,188,91,424,309
ISIC_0025060,87,19,534,424
ISIC_0025061,246,162,347,270
ISIC_0025062,230,152,382,302
ISIC_0025063,202,105,415,328
ISIC_0025064,248,176,330,262
ISIC_0025065,220,173,352,295
ISIC_0025066,138,87,471,389
ISIC_0025067,131,63,471,405
ISIC_0025068,108,68,495,382
ISIC_0025069,157,103,427,359
ISIC_0025070,70,16,520,420
ISIC_0025071,110,61,476,391
ISIC_0025072,112,63,480,394
ISIC_0025073,262,195,330,272
ISIC_0025074,204,141,443,356
ISIC_0025075,138,84,438,363
ISIC_0025076,213,169,345,312
ISIC_0025077,101,35,488,427
ISIC_0025078,68,33,539,443
ISIC_0025079,115,52,427,375
ISIC_0025080,136,68,452,410
ISIC_0025081,183,138,373,323
ISIC_0025082,115,45,502,396
ISIC_0025083,206,145,431,349
ISIC_0025084,129,70,434,366
ISIC_0025085,190,166,384,335
ISIC_0025086,127,49,516,401
ISIC_0025087,115,56,469,427
ISIC_0025088,253,197,359,305
ISIC_0025089,131,73,483,408
ISIC_0025090,103,16,497,429
ISIC_0025091,155,52,452,382
ISIC_0025092,56,12,555,452
ISIC_0025093,190,87,445,328
ISIC_0025094,234,166,352,281
ISIC_0025095,112,56,516,391
ISIC_0025096,157,75,448,354
ISIC_0025097,9,23,541,373
ISIC_0025098,80,52,511,410
ISIC_0025099,150,112,408,342
ISIC_0025100,145,61,462,384
ISIC_0025101,124,75,462,361
ISIC_0025102,124,105,420,377
ISIC_0025103,101,70,448,373
ISIC_0025104,166,63,429,321
ISIC_0025105,120,49,499,452
ISIC_0025106,173,110,436,335
ISIC_0025107,164,94,391,295
ISIC_0025108,195,150,408,326
ISIC_0025109,145,94,441,368
ISIC_0025110,63,49,527,445
ISIC_0025111,155,82,469,375
ISIC_0025112,237,169,352,286
ISIC_0025113,38,21,497,401
ISIC_0025114,117,66,424,342
ISIC_0025115,274,185,377,293
ISIC_0025116,157,103,417,338
ISIC_0025117,248,197,328,277
ISIC_0025118,166,105,410,316
ISIC_0025119,103,42,511,405
ISIC_0025120,66,26,527,436
ISIC_0025121,56,16,530,410
ISIC_0025122,148,98,434,373
ISIC_0025123,115,96,466,354
ISIC_0025124,157,66,457,352
ISIC_0025125,131,56,492,391
ISIC_0025126,127,38,466,394
